short_name,long_name,sofifa_id,age,dob,nationality,height_cm,body_type,weight_kg,club,player_url,overall_potential,value_eur,wage_eur,work_rate,team_position,team_jersey_number,shooting,passing,dribbling,defending,player_traits,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,power_shot_power,power_strength,power_long_shots,defending_standing_tackle,defending_sliding_tackle
S. Blanaru,Stefan Blanaru,247999,30,2/20/89,Romania,178,Normal,76,FC Hermannstadt,https://sofifa.com/player/247999/stefan-blanaru/20/159586,59,150000,2000,High/Medium,RES,89,58,39,56,19,Not Provided,43,55,27,56,59,74,54,12,14
S. Fara,Stefan Fara,247894,18,4/23/01,Romania,181,Normal,77,Dinamo Bucuresti,https://sofifa.com/player/247894/stefan-fara/20/159586,54,120000,1000,Medium/Medium,SUB,12,0,0,0,0,Not Provided,26,8,21,19,37,58,5,13,11
S. Rusu,Stefan Rusu,248421,19,1/21/00,Romania,177,Normal,73,Politehnica Iasi,https://sofifa.com/player/248421/stefan-rusu/20/159586,57,210000,1000,Medium/Medium,RES,28,31,43,45,54,Not Provided,52,38,44,47,43,74,27,54,57
S. Târnovanu,Stefan Târnovanu,248073,19,5/9/00,Romania,197,Normal,81,Politehnica Iasi,https://sofifa.com/player/248073/stefan-tarnovanu/20/159586,58,230000,1000,Medium/Medium,SUB,95,0,0,0,0,Not Provided,16,8,29,16,44,55,8,11,11
S. Vladoiu,Stefan Vladoiu,247949,20,12/28/98,Romania,178,Normal,73,Universitatea Craiova,https://sofifa.com/player/247949/stefan-vladoiu/20/159586,61,400000,1000,Medium/Medium,SUB,18,26,51,58,57,Not Provided,57,53,41,59,25,60,22,62,55
A. Serban,Andrei Serban,251049,18,10/31/00,Romania,174,Normal,65,Chindia Târgoviste,https://sofifa.com/player/251049/andrei-serban/20/159586,62,625000,1000,High/Low,SUB,6,48,57,62,25,Not Provided,58,59,56,60,54,36,36,28,21
A. Tiganasu,Alexandru Tiganasu,251635,29,6/12/90,Romania,179,Normal,74,FC Botosani,https://sofifa.com/player/251635/alexandru-tiganasu/20/159586,61,210000,2000,Medium/Medium,LB,30,29,51,50,59,Not Provided,59,45,41,51,25,67,29,62,60
A. Sut,Adrian Sut,251076,20,4/30/99,Romania,185,Lean,79,Academica Clinceni,https://sofifa.com/player/251076/adrian-sut/20/159586,61,550000,1000,Medium/Medium,RDM,89,53,54,60,52,Not Provided,63,58,52,64,58,64,61,62,59
A. Abdallah,Abdel Hakim Abdallah,237347,21,8/18/97,Comoros,170,Normal,68,Grenoble Foot 38,https://sofifa.com/player/237347/abdel-hakim-abdallah/20/159586,59,240000,1000,Medium/Medium,SUB,25,33,49,58,55,Not Provided,57,55,45,58,41,59,29,61,56
A. Abdellaoui,Ayoub Abdellaoui,243896,26,2/16/93,Algeria,183,Lean,73,FC Sion,https://sofifa.com/player/243896/ayoub-abdellaoui/20/159586,60,230000,4000,Medium/High,SUB,30,31,51,50,62,Not Provided,54,47,46,53,45,65,24,66,65
A. Abdennour,Aymen Abdennour,198076,29,8/6/89,Tunisia,187,Normal,84,Kayserispor,https://sofifa.com/player/198076/aymen-abdennour/20/159586,72,2600000,11000,Low/Medium,RCB,5,55,56,51,71,Not Provided,58,48,62,51,74,83,60,73,75
A. Abdi,Ali Abdi,252711,25,12/20/93,Tunisia,183,Normal,73,Paris FC,https://sofifa.com/player/252711/ali-abdi/20/159586,65,625000,2000,High/Medium,LB,2,41,57,64,61,Not Provided,57,64,48,63,47,66,39,61,62
A. Abdu,Ahmed Abdu,245438,22,8/8/96,Saudi Arabia,177,Normal,70,Al Wehda,https://sofifa.com/player/245438/ahmed-abdu/20/159586,65,750000,6000,Medium/Low,SUB,71,66,47,62,20,Not Provided,49,61,40,62,62,62,63,13,15
A. Abedzadeh,Amir Abedzadeh,237419,26,4/26/93,Iran,186,Normal,80,Clube Sport Marítimo,https://sofifa.com/player/237419/amir-abedzadeh/20/159586,72,2800000,6000,Medium/Medium,SUB,1,0,0,0,0,Not Provided,24,10,18,15,48,60,11,14,14
A. Abeid,Yacoub Aly Abeid,243210,21,12/11/97,Mauritania,174,Stocky,73,Levante UD,https://sofifa.com/player/243210/aly-abeid/20/159586,65,725000,4000,High/Medium,RES,31,42,54,62,63,Not Provided,62,58,51,64,46,71,44,65,64
A. Aberkane,Abdallah Aberkane,239362,19,5/5/00,Netherlands,176,Normal,70,Sparta Rotterdam,https://sofifa.com/player/239362/abdallah-aberkane/20/159586,59,220000,1000,Medium/Medium,SUB,13,37,52,62,58,Not Provided,54,60,50,62,52,57,36,59,56
A. Ablet,Abduwal Ablet,225716,32,4/14/87,China PR,178,Normal,68,Henan Jianye FC,https://sofifa.com/player/225716/abduwal-ablet/20/159586,59,100000,2000,High/Medium,LWB,13,56,58,61,53,Giant Throw-in,58,59,54,64,58,61,53,50,48
A. Abqar,Abdelkabir Abqar,245628,20,3/10/99,Morocco,188,Lean,80,Málaga CF,https://sofifa.com/player/245628/abdelkabir-abqar/20/159586,62,450000,1000,Low/Medium,RES,32,30,42,45,62,Not Provided,51,40,45,52,38,66,28,67,66
A. Abrahamsson,Alexander Abrahamsson,247092,19,8/7/99,Sweden,187,Normal,75,Djurgårdens IF,https://sofifa.com/player/247092/alexander-abrahamsson/20/159586,54,100000,1000,Medium/Medium,SUB,28,24,35,50,49,Not Provided,44,50,49,52,29,74,24,52,51
A. Abrashi,Amir Abrashi,199282,29,3/27/90,Albania,170,Stocky,74,SC Freiburg,https://sofifa.com/player/199282/amir-abrashi/20/159586,71,2000000,15000,High/High,SUB,6,55,58,65,70,Injury Prone,64,60,59,63,71,68,56,75,76
A. Absalem,Amir Absalem,240680,22,6/19/97,Netherlands,175,Lean,70,FC Groningen,https://sofifa.com/player/240680/amir-absalem/20/159586,66,750000,3000,Medium/High,LB,20,34,49,64,65,Not Provided,58,63,38,62,35,54,32,68,66
A. Acevedo,Albert Alejandro Acevedo Vergara,214406,36,5/6/83,Chile,176,Normal,74,CD O'Higgins,https://sofifa.com/player/214406/albert-acevedo/20/159586,67,150000,2000,Medium/Medium,RCB,3,29,41,38,67,"Avoids Using Weaker Foot, Giant Throw-in",52,28,45,40,38,73,24,67,60
A. Acosta,Alan Jesús Acosta Montañez,230125,22,12/19/96,Mexico,176,Normal,73,Puebla FC,https://sofifa.com/player/230125/alan-acosta/20/159586,65,825000,2000,Medium/Low,RES,27,56,61,64,43,Not Provided,62,63,59,63,66,58,43,53,56
